feature,perm_importance,snapshot_corr_mean_abs,snapshot_corr_std,stability_score,perm_rank_pct,final_score,theme
is_gap_anomaly_2x,0.0004229728066939886,0.546613576637775,0.12363117757502144,3.148130331613962,0.4222222222222222,1.2092548051257128,anomaly
dinner_order_ratio_lookback,0.005558828330659249,0.05638100360627757,0.03301596583007443,0.6791585575440269,1.0,1.1697896393860068,core
is_high_engagement,0.0002491694352160234,0.49273501758404675,0.10270988066632453,3.226608621747842,0.35555555555555557,1.162207710992516,core
distinct_x_orders,-0.00045275031260737507,0.5799325249258108,0.09705058229921218,3.943762179368927,0.13333333333333333,1.1192738781755651,value_mix
revenue_lookback_roll3_mean_lagged,-0.0010973735415583108,0.5790404876420109,0.08660368122808211,4.238835164882624,0.044444444444444446,1.1041532356651005,time_series
revenue_lookback_pct_change1,6.851853483781367e-05,0.3176814299055461,0.0759947189771239,2.5213868683117235,0.28888888888888886,0.9192356059668197,time_series
avg_order_value_lookback,-0.00012208460057222537,0.2721844478580327,0.041739980225778496,2.9669119961457127,0.15555555555555556,0.8972835545919837,value_mix
days_since_last_order_zscore_snapshot,-0.0005623596854404722,0.4572671056729924,0.10648836026928506,2.922051869456153,0.1111111111111111,0.8416240784751494,anomaly
avg_distinct_products_per_order_lookback,0.0006779901046716219,0.17980153694927245,0.08688672274995174,1.3135060386953112,0.5111111111111111,0.8394876207849389,value_mix
orders_30d_pct_change1,0.0007510869391385011,0.19435913378229944,0.1311214941662511,1.0730870716199896,0.5555555555555556,0.823827323460553,time_series
days_since_last_order,-0.0009317337131108716,0.45726710567299217,0.10648836026928495,2.9220518694561535,0.06666666666666667,0.797179634030705,core
orders_30d_vs_roll3,0.0005060292850993187,0.18515236501320456,0.09175321000505221,1.3061599452076293,0.4666666666666667,0.793206652968574,time_series
items_x_aov,0.0003593397950192423,0.13253644314974175,0.04347465897815741,1.417886351216452,0.4,0.754471587804113,value_mix
avg_order_value_lookback_lag1,-0.0008687852382764261,0.2763989489052067,0.05996138148997286,2.513600185447024,0.08888888888888889,0.7172889352506449,time_series
avg_order_value_lookback_roll3_mean_lagged,-0.0012815744258401819,0.26873270673896155,0.05477891714463983,2.564759343408705,0.022222222222222223,0.6634120580743985,time_series
weekend_order_ratio_lookback,-7.59970304455515e-05,0.15368049837963152,0.09248226080362146,1.0785939071492148,0.2,0.4696484767873037,core
avg_order_value_lookback_vs_roll3,-0.00010778001185378639,0.08976924981644302,0.09154002222845672,0.6342322715729717,0.17777777777777778,0.3363358456710207,time_series
