threshold,precision,recall,f1,f2,predicted_positive_rate
0.7409035351371045,0.9864864864864865,0.8488372093023255,0.9124999999995027,0.8732057416266119,0.4567901234567901
0.7899806335875849,0.9863013698630136,0.8372093023255814,0.9056603773579938,0.8633093525178053,0.4506172839506173
0.7901902719210924,0.9861111111111112,0.8255813953488372,0.8987341772146937,0.8533653846152057,0.4444444444444444
0.7958602417816952,0.9859154929577465,0.813953488372093,0.8917197452224345,0.8433734939757264,0.4382716049382716
0.8143372835899525,0.9857142857142858,0.8023255813953488,0.8846153846148898,0.8333333333331577,0.43209876543209874
0.8169527007370189,0.9855072463768116,0.7906976744186046,0.8774193548382156,0.8232445520579375,0.42592592592592593
0.8356904586962429,0.9852941176470589,0.7790697674418605,0.8701298701293769,0.8131067961163325,0.41975308641975306
0.8373219890678615,0.9850746268656716,0.7674418604651163,0.8627450980387233,0.8029197080290263,0.41358024691358025
0.8443998487714847,0.9848484848484849,0.7558139534883721,0.8552631578942455,0.7926829268290994,0.4074074074074074
0.8458308349023022,0.9846153846153847,0.7441860465116279,0.8476821192048076,0.7823960880193929,0.4012345679012346
0.8611466837514478,0.984375,0.7325581395348837,0.8399999999995107,0.7720588235292464,0.3950617283950617
0.8658158659282111,0.9841269841269841,0.7209302325581395,0.8322147651001829,0.761670761670598,0.3888888888888889
0.8709889873631793,0.9838709677419355,0.7093023255813954,0.8243243243238375,0.7512315270934343,0.38271604938271603
0.8886051840363219,0.9836065573770492,0.6976744186046512,0.8163265306117592,0.7407407407405807,0.3765432098765432
0.8903465761046992,0.9833333333333333,0.686046511627907,0.8082191780817076,0.7301980198018221,0.37037037037037035
0.891786744405207,0.9830508474576272,0.6744186046511628,0.7999999999995173,0.7196029776673375,0.36419753086419754
0.897755833462764,0.9827586206896551,0.6627906976744186,0.7916666666661855,0.7089552238804426,0.35802469135802467
0.8985682394236262,0.9824561403508771,0.6511627906976745,0.7832167832163037,0.698254364089623,0.35185185185185186
0.8986404610172176,0.9821428571428571,0.6395348837209303,0.7746478873234659,0.6874999999998496,0.345679012345679
0.8986439288555302,0.9818181818181818,0.627906976744186,0.7659574468080348,0.6766917293231598,0.3395061728395062
0.9004599673300461,0.9814814814814815,0.6162790697674418,0.757142857142383,0.6658291457284966,0.3333333333333333
0.9030131590265398,0.9811320754716981,0.6046511627906976,0.7482014388484489,0.6549118387907873,0.3271604938271605
0.9053285126856475,0.9807692307692307,0.5930232558139535,0.7391304347821391,0.6439393939392515,0.32098765432098764
0.9054415685288271,0.9803921568627451,0.5813953488372093,0.7299270072988027,0.6329113924049227,0.3148148148148148
0.907650595062568,0.98,0.5697674418604651,0.7205882352936527,0.6218274111673743,0.30864197530864196
0.9078177283466841,1.0,0.5697674418604651,0.7259259259254635,0.6234096692110596,0.30246913580246915
0.9088072005854171,1.0,0.5581395348837209,0.7164179104473013,0.6122448979590494,0.2962962962962963
0.9102053006013257,1.0,0.5465116279069767,0.706766917292776,0.6010230179026811,0.29012345679012347
0.910731562129796,1.0,0.5348837209302325,0.6969696969692427,0.5897435897434596,0.2839506172839506
0.9143024071587116,1.0,0.5232558139534884,0.6870229007629077,0.5784061696656819,0.2777777777777778
0.9212397647176827,1.0,0.5116279069767442,0.6769230769226291,0.5670103092782248,0.2716049382716049
0.9214193587069552,1.0,0.5,0.6666666666662222,0.5555555555554321,0.2654320987654321
0.9248171804230645,1.0,0.4883720930232558,0.656249999999559,0.5440414507770809,0.25925925925925924
0.9250429968624813,1.0,0.47674418604651164,0.6456692913381454,0.5324675324674136,0.25308641975308643
0.9282531342196827,1.0,0.46511627906976744,0.6349206349202016,0.5208333333332167,0.24691358024691357
0.9299638267724375,1.0,0.45348837209302323,0.6239999999995707,0.50913838120093,0.24074074074074073
0.932708136478941,1.0,0.4418604651162791,0.6129032258060265,0.4973821989527676,0.2345679012345679
0.9340558057791064,1.0,0.43023255813953487,0.601626016259742,0.48556430446183263,0.22839506172839505
0.9355277023395612,1.0,0.4186046511627907,0.5901639344258135,0.4736842105262086,0.2222222222222222
0.937609170443793,1.0,0.4069767441860465,0.5785123966938036,0.4617414248020061,0.21604938271604937
0.9418445598812791,1.0,0.3953488372093023,0.5666666666662605,0.4497354497353474,0.20987654320987653
0.9436795175933972,1.0,0.38372093023255816,0.5546218487390949,0.4376657824932689,0.2037037037037037
0.9456210601240667,1.0,0.37209302325581395,0.5423728813555369,0.4255319148935197,0.19753086419753085
0.9505077835609779,1.0,0.36046511627906974,0.5299145299141403,0.4133333333332385,0.19135802469135801
0.9516708337490474,1.0,0.3488372093023256,0.5172413793099614,0.40106951871648533,0.18518518518518517
0.9518377344896958,1.0,0.3372093023255814,0.5043478260865794,0.38873994638060744,0.17901234567901234
0.9527508636835728,1.0,0.32558139534883723,0.491228070175068,0.37634408602141844,0.1728395061728395
0.9528600936964783,1.0,0.313953488372093,0.4778761061943265,0.36388140161716637,0.16666666666666666
0.9545653549037917,1.0,0.3023255813953488,0.4642857142853577,0.3513513513512697,0.16049382716049382
0.9570979248941065,1.0,0.29069767441860467,0.4504504504501014,0.33875338753379647,0.15432098765432098
0.9570996104445497,1.0,0.27906976744186046,0.43636363636329517,0.326086956521663,0.14814814814814814
0.9583585054206212,1.0,0.26744186046511625,0.42201834862352017,0.31335149863752876,0.1419753086419753
0.9595276105533589,1.0,0.2558139534883721,0.407407407407083,0.30054644808736103,0.13580246913580246
0.9632140990946669,1.0,0.2441860465116279,0.39252336448566577,0.28767123287664453,0.12962962962962962
0.9634637924826333,1.0,0.23255813953488372,0.37735849056573156,0.2747252747252098,0.12345679012345678
0.9645352411878663,1.0,0.22093023255813954,0.36190476190446547,0.2617079889806542,0.11728395061728394
0.9653496309531572,1.0,0.20930232558139536,0.34615384615355993,0.24861878453032768,0.1111111111111111
0.9707190324958365,1.0,0.19767441860465115,0.33009708737836513,0.23545706371185524,0.10493827160493827
0.9722644502658716,1.0,0.18604651162790697,0.3137254901958139,0.2222222222221691,0.09876543209876543
0.9736603740895271,1.0,0.1744186046511628,0.29702970297004405,0.20891364902501958,0.09259259259259259
0.9747425407849759,1.0,0.16279069767441862,0.27999999999975916,0.19553072625693627,0.08641975308641975
0.9770785125794843,1.0,0.1511627906976744,0.26262626262603445,0.1820728291316088,0.08024691358024691
0.9775339029276237,1.0,0.13953488372093023,0.24489795918345852,0.1685393258426559,0.07407407407407407
0.9781342906127286,1.0,0.12790697674418605,0.22680412371113912,0.1549295774647512,0.06790123456790123
0.980782003629043,1.0,0.11627906976744186,0.2083333333331467,0.14124293785307304,0.06172839506172839
0.9811643811249813,1.0,0.10465116279069768,0.1894736842103548,0.12747875354104543,0.05555555555555555
0.9814662765621679,1.0,0.09302325581395349,0.17021276595729107,0.11363636363633586,0.04938271604938271
0.9836669966315855,1.0,0.08139534883720931,0.15053763440846296,0.09971509971507529,0.043209876543209874
0.9854904351380781,1.0,0.06976744186046512,0.13043478260857372,0.08571428571426465,0.037037037037037035
0.9859585205306545,1.0,0.05813953488372093,0.10989010989000601,0.07163323782233191,0.030864197530864196
0.9867397849913014,1.0,0.046511627906976744,0.08888888888880393,0.05747126436780189,0.024691358024691357
0.9899550857752114,1.0,0.03488372093023256,0.0674157303370135,0.04322766570604116,0.018518518518518517
0.9907964449752145,1.0,0.023255813953488372,0.045454545454501026,0.028901734104039057,0.012345679012345678
0.9909925807895557,1.0,0.011627906976744186,0.022988505747103708,0.014492753623184793,0.006172839506172839
